2026-09-11 19:06:08,168 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: assistant_models, Método: POST
2026-09-11 19:06:09,420 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: settings, Método: GET
2026-09-11 19:06:09,712 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: mfa_status, Método: GET
2026-09-11 19:06:09,749 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: gw_proxy, Método: GET
2026-09-11 19:06:09,758 - ACESSO - IP: 127.0.0.1, Usuário: admin, Endpoint: notifications.api_unread, Método: GET
2026-09-11 19:06:12,677 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: netscope.page, Método: GET
2026-09-11 19:06:12,831 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: static, Método: GET
2026-09-11 19:06:12,836 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: static, Método: GET
2026-09-11 19:06:12,843 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: static, Método: GET
2026-09-11 19:06:12,906 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: gw_proxy, Método: GET
2026-09-11 19:06:12,916 - ACESSO - IP: 127.0.0.1, Usuário: admin, Endpoint: netscope.api_config, Método: GET
2026-09-11 19:06:12,923 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: gw_proxy, Método: GET
2026-09-11 19:06:12,932 - ACESSO - IP: 127.0.0.1, Usuário: admin, Endpoint: notifications.api_unread, Método: GET
2026-09-11 19:06:12,960 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: gw_proxy, Método: GET
2026-09-11 19:06:12,970 - ACESSO - IP: 127.0.0.1, Usuário: admin, Endpoint: netscope.api_devices, Método: GET
2026-09-11 19:06:13,434 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: gw_proxy, Método: GET
2026-09-11 19:06:13,445 - ACESSO - IP: 127.0.0.1, Usuário: admin, Endpoint: netscope.api_subnets, Método: GET
2026-09-11 19:06:13,497 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: gw_proxy, Método: GET
2026-09-11 19:06:13,510 - ACESSO - IP: 127.0.0.1, Usuário: admin, Endpoint: netscope.api_stats, Método: GET
2026-09-11 19:06:13,670 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: gw_proxy, Método: GET
2026-09-11 19:06:13,681 - ACESSO - IP: 127.0.0.1, Usuário: admin, Endpoint: netscope.api_conflicts, Método: GET
2026-09-11 19:06:20,956 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: gw_proxy, Método: POST
2026-09-11 19:06:20,966 - ACESSO - IP: 127.0.0.1, Usuário: admin, Endpoint: netscope.api_subnets_add, Método: POST
2026-09-11 19:06:21,024 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: gw_proxy, Método: GET
2026-09-11 19:06:21,034 - ACESSO - IP: 127.0.0.1, Usuário: admin, Endpoint: netscope.api_config, Método: GET
2026-09-11 19:06:21,077 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: gw_proxy, Método: GET
2026-09-11 19:06:21,088 - ACESSO - IP: 127.0.0.1, Usuário: admin, Endpoint: netscope.api_subnets, Método: GET
2026-09-11 19:06:30,048 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: gw_proxy, Método: POST
2026-09-11 19:06:30,058 - ACESSO - IP: 127.0.0.1, Usuário: admin, Endpoint: netscope.api_subnets_add, Método: POST
2026-09-11 19:06:30,112 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: gw_proxy, Método: GET
2026-09-11 19:06:30,122 - ACESSO - IP: 127.0.0.1, Usuário: admin, Endpoint: netscope.api_config, Método: GET
2026-09-11 19:06:30,169 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: gw_proxy, Método: GET
2026-09-11 19:06:30,180 - ACESSO - IP: 127.0.0.1, Usuário: admin, Endpoint: netscope.api_subnets, Método: GET
2026-09-11 19:06:34,245 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: gw_proxy, Método: POST
2026-09-11 19:06:34,254 - ACESSO - IP: 127.0.0.1, Usuário: admin, Endpoint: netscope.api_scan, Método: POST
2026-09-11 19:06:36,308 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: gw_proxy, Método: GET
2026-09-11 19:06:36,316 - ACESSO - IP: 127.0.0.1, Usuário: admin, Endpoint: netscope.api_scan_status, Método: GET
2026-09-11 19:06:38,308 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: gw_proxy, Método: GET
2026-09-11 19:06:38,317 - ACESSO - IP: 127.0.0.1, Usuário: admin, Endpoint: netscope.api_scan_status, Método: GET
2026-09-11 19:06:40,310 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: gw_proxy, Método: GET
2026-09-11 19:06:40,318 - ACESSO - IP: 127.0.0.1, Usuário: admin, Endpoint: netscope.api_scan_status, Método: GET
2026-09-11 19:06:42,314 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: gw_proxy, Método: GET
2026-09-11 19:06:42,323 - ACESSO - IP: 127.0.0.1, Usuário: admin, Endpoint: netscope.api_scan_status, Método: GET
2026-09-11 19:06:42,604 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: gw_proxy, Método: GET
2026-09-11 19:06:42,613 - ACESSO - IP: 127.0.0.1, Usuário: admin, Endpoint: assistant.api_history, Método: GET
2026-09-11 19:06:42,660 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: gw_proxy, Método: GET
2026-09-11 19:06:42,670 - ACESSO - IP: 127.0.0.1, Usuário: admin, Endpoint: assistant.api_status, Método: GET
2026-09-11 19:06:44,319 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: gw_proxy, Método: GET
2026-09-11 19:06:44,328 - ACESSO - IP: 127.0.0.1, Usuário: admin, Endpoint: netscope.api_scan_status, Método: GET
2026-09-11 19:06:44,375 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: gw_proxy, Método: GET
2026-09-11 19:06:44,383 - ACESSO - IP: 127.0.0.1, Usuário: admin, Endpoint: netscope.api_devices, Método: GET
2026-09-11 19:06:44,433 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: gw_proxy, Método: GET
2026-09-11 19:06:44,442 - ACESSO - IP: 127.0.0.1, Usuário: admin, Endpoint: netscope.api_stats, Método: GET
2026-09-11 19:06:44,557 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: gw_proxy, Método: GET
2026-09-11 19:06:44,570 - ACESSO - IP: 127.0.0.1, Usuário: admin, Endpoint: notifications.api_list, Método: GET
2026-09-11 19:06:44,590 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: gw_proxy, Método: GET
2026-09-11 19:06:44,603 - ACESSO - IP: 127.0.0.1, Usuário: admin, Endpoint: netscope.api_conflicts, Método: GET
2026-09-11 19:06:46,282 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: gw_proxy, Método: POST
2026-09-11 19:06:46,292 - ACESSO - IP: 127.0.0.1, Usuário: admin, Endpoint: notifications.api_read_all, Método: POST
2026-09-11 19:06:46,344 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: gw_proxy, Método: GET
2026-09-11 19:06:46,353 - ACESSO - IP: 127.0.0.1, Usuário: admin, Endpoint: notifications.api_list, Método: GET
2026-09-11 19:06:48,046 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: gw_proxy, Método: POST
2026-09-11 19:06:48,057 - ACESSO - IP: 127.0.0.1, Usuário: admin, Endpoint: notifications.api_clear_read, Método: POST
2026-09-11 19:06:48,110 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: gw_proxy, Método: GET
2026-09-11 19:06:48,119 - ACESSO - IP: 127.0.0.1, Usuário: admin, Endpoint: notifications.api_list, Método: GET
2026-09-11 19:06:52,989 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: gw_proxy, Método: POST
2026-09-11 19:06:52,997 - ACESSO - IP: 127.0.0.1, Usuário: admin, Endpoint: netscope.api_infer, Método: POST
2026-09-11 19:06:53,050 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: gw_proxy, Método: GET
2026-09-11 19:06:53,060 - ACESSO - IP: 127.0.0.1, Usuário: admin, Endpoint: netscope.api_devices, Método: GET
2026-09-11 19:06:53,110 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: gw_proxy, Método: GET
2026-09-11 19:06:53,119 - ACESSO - IP: 127.0.0.1, Usuário: admin, Endpoint: netscope.api_stats, Método: GET
2026-09-11 19:06:53,266 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: gw_proxy, Método: GET
2026-09-11 19:06:53,276 - ACESSO - IP: 127.0.0.1, Usuário: admin, Endpoint: netscope.api_conflicts, Método: GET
2026-09-11 19:06:57,455 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: dashboard, Método: GET
2026-09-11 19:06:57,740 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: gw_proxy, Método: GET
2026-09-11 19:06:57,750 - ACESSO - IP: 127.0.0.1, Usuário: admin, Endpoint: notifications.api_unread, Método: GET
2026-09-11 19:06:57,757 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: gw_proxy, Método: GET
2026-09-11 19:06:57,766 - ACESSO - IP: 127.0.0.1, Usuário: admin, Endpoint: get_chart_data, Método: GET
2026-09-11 19:07:49,033 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: settings, Método: GET
2026-09-11 19:07:49,185 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: mfa_status, Método: GET
2026-09-11 19:07:49,224 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: gw_proxy, Método: GET
2026-09-11 19:07:49,233 - ACESSO - IP: 127.0.0.1, Usuário: admin, Endpoint: notifications.api_unread, Método: GET
2026-09-11 19:07:51,353 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: set_language, Método: GET
2026-09-11 19:07:51,391 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: settings, Método: GET
2026-09-11 19:07:51,524 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: mfa_status, Método: GET
